"sal_diff_gender_under26","sal_diff_gender_under26_percentage","sal_diff_gender_2650","sal_diff_gender_2650_percentage","sal_diff_gender_over50","sal_diff_gender_over50_percentage","nom_département"
0.80,6.780,4.00,18.433,12.00,42.403,Paris
0.71,6.860,5.02,25.214,10.85,42.327,Yvelines
1.08,10.834,3.67,22.892,6.97,36.572,Rhône
0.70,6.356,3.99,18.737,9.61,35.823,Hauts-de-Seine
0.70,7.388,3.26,23.566,5.88,35.210,Territoire de Belfort
0.73,7.745,2.78,21.839,5.32,34.900,Moselle
0.50,5.324,2.59,19.724,5.61,34.657,Pyrénées-Atlantiques
0.68,7.041,3.29,22.076,6.19,34.529,Alpes-Maritimes
0.83,8.596,3.19,21.566,6.02,33.968,Bouches-du-Rhône
0.85,8.946,2.89,21.788,5.24,33.458,Haut-Rhin
1.14,11.624,3.13,20.894,6.03,33.213,Haute-Garonne
0.85,8.867,2.77,20.086,5.27,32.376,Bas-Rhin
0.86,8.767,2.83,20.353,5.16,32.338,Haute-Savoie
0.70,7.207,3.12,20.906,5.64,32.137,Isère
0.54,5.738,2.63,20.080,4.90,32.012,Drôme
0.99,10.068,2.94,21.124,5.25,31.652,Savoie
0.51,5.472,2.46,18.690,4.93,31.416,Var
0.64,6.643,2.73,19.620,4.96,31.113,Indre-et-Loire
0.83,8.719,2.71,20.386,4.63,30.720,Loire-Atlantique
0.72,7.473,2.50,18.318,4.82,30.662,Ain
0.86,8.780,2.64,19.225,4.85,29.871,Seine-Maritime
0.57,6.149,2.29,17.384,4.66,29.760,Hérault
0.68,7.132,2.22,17.585,4.37,29.586,Manche
0.53,5.662,2.13,16.914,4.45,29.431,Alpes-de-Haute-Provence
0.96,10.088,2.46,19.363,4.28,29.416,Doubs
0.57,6.064,2.34,18.546,4.36,29.150,Ardèche
0.65,6.880,2.28,18.689,4.04,28.942,Jura
0.91,9.400,2.66,20.228,4.29,28.875,Loire
0.42,4.533,2.12,17.037,4.10,28.319,Finistère
0.60,6.336,2.29,18.351,4.11,28.183,Saône-et-Loire
0.47,5.074,2.44,18.626,4.33,28.004,Vaucluse
0.71,7.528,2.60,19.351,4.42,27.864,Gironde
0.67,7.030,2.31,16.961,4.58,27.848,Puy-de-Dôme
0.71,6.978,2.68,16.284,5.68,27.747,Essonne
0.57,6.054,2.27,17.577,4.17,27.442,Meurthe-et-Moselle
0.50,5.415,2.21,17.993,3.93,27.330,Landes
1.06,10.779,2.40,17.980,4.20,27.020,Nord
0.44,4.765,2.24,17.572,4.03,26.959,Gard
0.47,5.156,1.98,16.066,3.92,26.778,Charente-Maritime
0.70,7.414,1.86,15.225,3.73,26.746,Aube
0.55,5.516,2.69,17.529,4.96,26.734,Seine-et-Marne
0.68,7.160,2.14,16.611,4.08,26.719,Côte-d'Or
0.51,5.441,2.03,16.402,3.82,26.679,Côtes-d'Armor
0.60,6.318,2.42,18.188,4.00,26.611,Ille-et-Vilaine
0.66,7.014,1.97,16.019,3.72,26.515,Morbihan
0.45,4.840,2.20,17.561,3.74,26.400,Maine-et-Loire
0.60,6.209,2.47,17.470,4.35,26.335,Oise
0.60,6.331,2.06,16.567,3.82,26.151,Pas-de-Calais
0.61,6.450,2.18,17.044,3.86,26.115,Loir-et-Cher
0.70,7.186,2.25,16.599,4.10,25.932,Loiret
0.53,5.692,1.62,13.912,3.58,25.838,Lot
0.58,6.283,1.81,14.883,3.58,25.670,Gers
0.51,5.495,1.84,15.690,3.56,25.595,Hautes-Alpes
0.60,6.454,1.97,16.499,3.41,25.504,Vendée
1.11,11.363,2.19,16.793,3.84,25.489,Marne
0.48,5.171,2.08,16.400,3.73,25.070,Calvados
0.50,5.390,2.06,17.501,3.45,25.064,Hautes-Pyrénées
0.43,4.480,2.13,15.886,3.92,25.039,Eure-et-Loir
0.68,7.391,1.87,15.651,3.47,24.845,Allier
0.48,4.771,2.39,14.957,4.80,24.646,Val-d'Oise
0.51,5.450,1.77,14.716,3.38,24.634,Haute-Loire
0.43,4.654,1.75,14.600,3.32,24.520,Meuse
0.48,5.117,1.85,14.995,3.59,24.427,Charente
0.55,5.923,1.82,14.982,3.36,24.361,Mayenne
0.65,6.318,2.22,13.511,4.82,24.270,Val-de-Marne
0.60,6.419,1.89,15.409,3.45,24.259,Yonne
0.48,5.302,1.70,14.542,3.28,24.236,Lot-et-Garonne
0.74,7.836,1.95,16.035,3.40,24.226,Ardennes
0.67,7.121,1.88,15.468,3.45,24.225,Cher
0.61,6.351,1.98,15.280,3.63,24.204,Eure
0.49,5.172,2.22,17.391,3.48,24.128,Sarthe
0.67,7.232,1.86,15.491,3.20,24.060,Vosges
0.47,4.997,2.20,17.223,3.59,23.968,Vienne
0.62,6.755,1.99,16.290,3.33,23.943,Tarn
0.58,6.290,1.86,15.405,3.33,23.582,Tarn-et-Garonne
0.69,7.283,1.91,15.384,3.28,23.271,Somme
0.52,5.536,1.82,14.410,3.36,22.545,Haute-Vienne
0.44,4.812,1.41,12.281,3.02,22.381,Orne
0.64,6.924,2.04,16.919,2.99,21.985,Ariège
0.65,7.048,1.82,14.993,3.11,21.962,Corrèze
0.22,2.427,1.59,13.537,2.98,21.626,Pyrénées-Orientales
0.50,5.413,1.94,16.148,2.99,21.624,Aveyron
0.65,6.866,1.98,16.538,2.89,20.883,Nièvre
0.59,6.417,1.47,12.621,2.76,20.798,Indre
0.48,5.304,1.47,12.668,2.83,20.771,Aude
0.52,5.497,1.65,14.103,2.83,20.733,Haute-Marne
0.57,6.125,1.61,13.463,2.79,20.274,Aisne
0.56,6.070,1.57,13.340,2.72,20.242,Haute-Saône
0.36,3.956,1.33,11.770,2.57,19.726,Cantal
0.43,4.724,1.48,12.683,2.59,18.996,Dordogne
-0.12,-1.324,1.20,9.524,2.70,17.898,Martinique
-0.18,-2.004,1.42,12.770,2.32,17.791,Lozère
0.45,4.823,1.41,11.253,2.50,17.442,Deux-Sèvres
0.48,5.275,0.84,7.527,2.08,15.430,Creuse
0.11,1.206,1.05,8.359,2.31,15.068,Guadeloupe
0.00,0.000,0.77,6.330,1.86,12.664,Réunion
